href,menu
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Mì ý bò bằm
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Hoành thánh tôm chiên
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Gà xào cay phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Gà rán phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Mực sốt cay (kèm cơm)
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Chân gà cay phô mai (đã rút xương)
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Sụn gà mật ong phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Xúc xích nhân phô mai (4 cây)
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Sụn gà cay phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Chảo phô mai (gà rán 2 vị + mì cay)
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Gà rán cay phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Xúc xích nhân phô mai (2 cây)
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Chảo gà phô mai 4 vị
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Chảo phô mai (Gà cay + Udon cay)
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Mực cay phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Mì ý bò đút lò phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Gà viên giòn
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Gà viên sốt cay
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Gà sốt mù tạt mật ong
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Gà viên sốt mayon sữa
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Gà viên sốt teriyaki
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tôm chiên xù sốt mayon sữa
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tôm chiên xù
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tôm xù mù tạt mật ong
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tôm chiên xù lắc phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tôm chiên xù sốt mật ong
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tôm chiên xù sốt cay
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Nui sốt bò đút lò phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Nui tiêu hải sản
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Nui bò bằm sốt cà
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Nui tiêu xào bò
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Nui sốt kem
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Nui tôm sốt phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Nui kem hải sản
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Súp kim chi trứng
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Súp kim chi bò trứng
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Súp bò bulgogi
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Bánh cá kim chi
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Súp bánh cá
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Canh rong biển chả cá HQ
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Canh rong biển thịt bò
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Súp rong biển thanh cua 
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Súp kim chi thịt heo trứng
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki mật ong gà
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki truyền thống
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki đút lò
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki nhân phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki sốt kem
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki giòn + gà
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki sốt phô mai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki bò
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki hải sản
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki nhân phô mai mật ong + gà
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Thêm cơm
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Thêm kim chi
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Thêm trứng
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Thêm phô mai lát
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Phô mai bào
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Thêm mì gói Hàn Quốc
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Thêm tokbokki có nhân
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Tokbokki thêm
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Thêm miến dai
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Thêm phô mai bào
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Thêm mì udon
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Trà dâu dằm chai 330ml
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Trà đào dằm chai 350ml
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Sting
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Coca cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Trà tắc chai 350ml
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,7up
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Trà dâu dằm chai 330ml
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Mì ý bò phô mai + Fanta/Sprite/Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Fanta/Sprite/Coca-Cola chỉ 1Đ
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,01 Fanta/Sprite/Coca-Cola lẻ
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Nui bò phô mai  + Fanta/Sprite/Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,02 Fanta/Sprite/Coca-Cola lẻ
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,2 mì ý bò bằm + 2 Fanta/Sprite/Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,2 tok truyền thống + 2 Fanta/Sprite/Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,2 nui bò bằm + 2 Fanta/Sprite/Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,2 Chai Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,2 Tokbokki truyền thống + 2 Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,2 Tokbokki nhân lắc phô mai + 2 Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,1 Chai Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,1 Mì ý bò băm + 1 Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,1 Nui bò băm + 1 Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,1 Chai Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,1 Mì ý bò băm + 1 Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,1 Nui bò băm + 1 Coca-Cola
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Xúc Xích Đức 
/ho-chi-minh/moon-fast-food-mon-han-truong-chinh,Cơm xúc xích 
